,Oxaliplatin,Ulixertinib,Fulvestrant,Uprosertib,Dactinomycin,Docetaxel,Camptothecin,5-Fluorouracil,Afatinib,Taselisib,PD0325901,Sapitinib,Alpelisib,SCH772984,LGK974,Luminespib,Linsitinib,GSK1904529A,EPZ5676,EPZ004777,Irinotecan,PLX-4720,Nutlin-3a (-),MG-132,Staurosporine,MK-2206,Trametinib,Palbociclib,MK-1775,Cisplatin,Pictilisib,AZD7762,Olaparib,Dasatinib,AZD3759,PD173074,Vorinostat,Dabrafenib,Paclitaxel,AZD4547,Lapatinib,Sorafenib,Nilotinib,Tamoxifen,Gemcitabine,Venetoclax,Bortezomib,Wee1 Inhibitor,Osimertinib,AGI-5198,Ipatasertib,Erlotinib,Sepantronium bromide,Cediranib,Buparlisib,YK-4-279,AZD8186,UMI-77,Cytarabine,BPD-00008900,MIM1,Dactolisib,NVP-ADW742,Gefitinib,Telomerase Inhibitor IX,GDC0810,WEHI-539,BDP-00009066,Epirubicin,GSK2578215A,I-BRD9,P22077,AZD6738,AZD5363,BMS-536924,ABT737,WIKI4,Afuresertib,Savolitinib,Navitoclax,Cyclophosphamide,MIRA-1,Pyridostatin,Temozolomide,Vinorelbine,Vinblastine,Pevonedistat,Foretinib,BIBR-1532,MK-8776,Talazoparib,AMG-319,AZ6102,VX-11e,LJI308,AT13148,Rapamycin,GSK591,VE821,GNE-317,Crizotinib,Entinostat,Alisertib,Fludarabine,Mitoxantrone,Niraparib,JAK1_8709,Leflunomide,IRAK4_4710,Entospletinib,BMS-345541,Podophyllotoxin bromide,Gallibiscoquinazole,Sinularin,PCI-34051,Carmustine,Topotecan,AGI-6780,VSP34_8731,MN-64,ML323,XAV939,PFI3,Zoledronate,CZC24832,KRAS (G12C) Inhibitor-12,ERK_2440,Acetalax,LY2109761,AZD1332,Mirin,OTX015,Wnt-C59,PRIMA-1MET,PRT062607,AZD5438,Obatoclax Mesylate,AZD2014,OF-1,Selumetinib,WZ4003,Teniposide,Picolinici-acid,JAK_8517,Elephantin,Ruxolitinib,VE-822,ERK_6604,IWP-2,PAK_5339,RVX-208,TAF1_5496,Dinaciclib,Nelarabine,IGF1R_3801,GSK343,CDK9_5576,LCL161,I-BET-762,AZD5153,CDK9_5038,AZD1208,Dihydrorotenone,ULK1_4989,Sabutoclax,AZ960,IAP_5620,Ibrutinib,AZD5991,Eg5_9814,Vincristine,GSK2606414,AZD5582,Daporinad,OSI-027,AZD8055,SB216763,Axitinib,RO-3306,Tozasertib,GSK269962A,KU-55933,PF-4708671,AZD6482,ZM447439,JQ1,NU7441,SB505124,Ribociclib,Doramapimod,BMS-754807,BI-2536,Cetuximab,Doxorubicin,Etoposide,Bleomycin,Bicalutamide,Bleomycin (50 uM),Pemetrexed,AICA Ribonucleotide
23132-87,4.3916335,2.526244,3.697545,0.188871,-4.5308145,-5.2109985000000005,-3.2769449999999996,2.1680029999999997,0.652471,-0.320857,0.04408,2.738978,2.034585,1.5321129999999998,4.1572510000000005,-1.7974169999999998,3.719157,3.4313809999999996,5.795101,5.6535269999999995,1.9774619999999998,4.5698550000000004,2.3682990000000004,-1.590646,-4.08997,0.186595,-1.101323,3.223218,-0.14513,3.985785,-1.015219,0.3283,5.102666,1.200988,3.206312,2.332281,0.866942,5.535671,-3.6618,1.371171,2.776144,2.47683,3.8093019999999997,3.0877939999999997,-1.0235049999999999,2.176614,-5.3542559999999995,1.7976400000000001,1.72955,5.0958879999999995,1.70515,1.9026669999999999,-2.7543450000000003,1.6834939999999998,-0.045462999999999996,1.9115790000000001,0.471459,5.285172,0.10929000000000001,5.145716,4.476811,-2.648527,2.381129,1.917081,0.669108,4.640909,3.9963620000000004,1.9172080000000002,-2.0247900000000003,5.164485,3.5110099999999997,5.04413,1.516047,1.019439,2.273154,3.0511369999999998,3.8416910000000004,0.874302,3.1556130000000002,0.6159319999999999,4.5363120000000015,5.416903,2.645773,5.194991,-5.256226,-4.77083,1.114285,1.2968620000000002,3.461911,1.634005,2.41862,4.618705,2.029025,1.761494,5.022082,1.3984450000000002,-3.5489230000000003,3.484378,2.409138,-0.815365,3.9223769999999996,2.2808900000000003,0.746455,3.5237010000000004,0.154754,3.8604519999999996,2.920731,4.809329,3.702863,4.043386,1.678843,-1.333767,2.253378,4.40685,4.758616,6.181,-0.237327,5.168499,1.499177,5.115531,4.002634,4.182666,5.54976,3.5947339999999994,4.485461,4.2909190000000015,1.952534,0.687747,5.519808,1.9308720000000001,3.222326,2.200023,5.266275,4.777564,3.174203,1.44139,0.619715,-0.383823,4.4535230000000015,3.125865,3.440264,-0.736102,5.312942,2.21651,4.034322,5.415417,4.053539,2.126061,3.136339,2.0727729999999998,4.321911,2.884023,-3.000515,6.007531,1.7046299999999999,2.6831419999999997,-1.482124,5.481636,3.7200839999999995,0.632429,-3.6882589999999995,4.671017,0.7640979999999999,0.770011,-0.7134520000000001,1.526864,5.197432,5.218323000000002,2.950501,-4.3810150000000005,-3.294943,3.160482,0.879295,,4.815779,,,,,,,,,,,,,,,,,,6.296225,-3.525237,-0.48833999999999994,-0.510824,3.4657934999999997,0.525526,0.506745,8.5051
42-MG-BA,4.1297345000000005,3.1477085,4.045351,1.6821965,-4.231256,-4.2470725,-2.9067060000000002,3.362543,1.7235490000000002,0.896352,1.961409,4.136671,2.992025,2.964445,3.566074,-2.756768,4.474981,4.365921,5.128559,5.352169,1.7655919999999998,4.585977,5.533789,-1.533623,-6.297467,1.6465290000000001,0.971772,5.160666,2.279117,2.56301,0.47685500000000003,-1.033307,3.210166,-1.8523630000000002,2.934145,3.231395,1.8046400000000002,4.55764,-3.4009650000000002,0.952577,3.271705,1.820209,1.996017,3.787142,-3.7311669999999997,2.773902,-4.6534699999999996,2.966137,1.488888,4.680624,1.911757,3.384925,-5.090262999999998,0.298115,0.5093439999999999,1.723414,1.9120130000000002,2.966542,1.035739,3.258388,1.846511,-3.2801970000000003,1.889513,3.853929,0.08530499999999999,4.767481,4.043737999999999,1.373732,-2.54215,5.221195,4.006147,3.975347,1.565993,1.403266,1.6629880000000001,3.02294,3.6872730000000002,0.561507,1.9060810000000001,2.486457,5.142124,5.488675,3.3390400000000002,5.499546,-3.9218089999999997,-4.7785410000000015,-0.101957,-0.981786,5.355642,2.373217,1.7333470000000002,5.247738,2.4756810000000002,2.899096,5.3622510000000005,3.004648,-3.7303940000000004,4.298847,4.150422,-0.712248,3.392776,2.2613380000000003,1.485959,5.027533,1.658553,2.144146,3.94495,5.825146,3.6753480000000014,2.537928,2.205889,-0.753426,2.200911,2.3649310000000003,4.859961,6.315252,-0.5925060000000001,4.8006410000000015,2.34602,5.271014,4.770288,3.9162660000000002,5.445101999999999,3.5553339999999998,4.794651999999999,3.846485,1.816037,5.5460970000000005,4.278323,2.004515,3.9843669999999998,2.329908,4.574813,5.835371,2.303465,1.9282270000000001,0.742598,0.593152,5.271024,4.503593,3.853185,0.468732,4.351792,1.5945340000000001,3.5126370000000002,3.999542,4.3697349999999995,4.183039,2.464026,1.7063549999999998,4.172442,5.31895,-3.422078,6.002802,1.768557,2.905183,-0.948931,5.174342,3.279735,0.81195,-3.201348,5.150479,1.70469,-0.005542,-0.062657,1.071731,5.218827,4.098416,5.38077,-0.752744,-2.1353419999999996,2.509598,1.6021459999999998,,5.2836,,,,,,,,,,,,,,,,,,6.367808999999999,-2.1297194999999998,2.420287,2.128587,3.5247645,-0.450167,2.582966,7.5626070000000025
639-V,3.2538155,2.5461115000000003,3.5502535,4.2973235,-4.7602614999999995,-4.8693315,-5.115998,4.410076999999999,1.7286130000000002,2.683493,0.588384,4.247959,4.181952,3.054605,3.3256419999999998,-3.870745,4.160544,4.0681059999999984,4.338978,4.337485,0.039772,5.566856,4.713421,-1.977871,-2.146264,3.8261300000000014,1.270118,3.936173,0.756636,0.618066,1.395693,0.524482,2.675026,2.06035,3.203565,3.288157,2.687246,5.23227,-3.935192,1.537208,3.7473919999999996,2.0880229999999997,3.820425,3.089203,-4.5873669999999995,2.661936,-5.217017,1.848327,1.9470580000000002,3.8745260000000004,3.4224879999999995,2.3121509999999996,-5.464149,1.688912,0.846143,1.5177450000000001,2.677649,4.595751,2.625413,5.285612,3.611094,-0.7538630000000001,3.714201,2.475056,-0.388529,4.882372,3.9293139999999998,2.2057330000000004,-2.410908,5.192832,3.4302040000000003,2.834822,2.884306,3.086379,1.824514,4.331129,3.719778,3.072368,2.50505,1.326406,4.769291,5.2908669999999995,3.335119,5.175687,-3.1525060000000003,-4.007594,-1.140918,0.393031,3.855605,4.198355,0.7165630000000001,4.519618,2.594762,3.654413,4.904614,5.290583,-2.110662,,4.56722,0.7742180000000001,3.660974,4.212253,2.15707,5.697918,0.17366600000000001,4.690389,3.7660419999999997,5.402275,4.678309,3.804618,2.1806259999999997,-0.7055170000000001,2.162906,2.967291,4.580237,4.986541000000001,-2.391341,3.6060830000000004,2.542564,4.89962,4.203089,4.137965,4.9366900000000005,3.031908,5.043671,3.1456310000000003,2.484928,5.565306,5.2256599999999995,1.709686,4.127695,3.087195,4.501633,4.3534239999999995,3.8793559999999996,2.044927,0.7930649999999999,1.998011,3.880442,5.507719,4.7823400000000005,-0.44655500000000004,4.7850410000000005,1.6638650000000001,2.803125,4.560487999999999,4.043897,4.007982,1.375759,2.747954,4.569584,5.002484,-3.0645540000000002,5.672772,1.2413809999999998,1.4342110000000001,-1.483178,3.573743,2.831987,1.8582599999999998,-2.368811,5.30751,-0.006439,2.371443,-1.327835,1.960404,5.2453330000000005,4.924214,4.928578,-1.733454,-1.4203430000000001,2.5801220000000002,3.5801580000000004,,4.082992,,,,,,,,,,,,,,,,,,5.3325010000000015,-3.35816,0.18871500000000002,-1.2275909999999999,3.1510290000000003,0.061915,2.500569,7.448760000000001
697,0.7453485,1.6096455,2.342711,1.341499,-6.782442,-6.605281,-5.004851,2.4361189999999997,0.28483200000000003,1.227971,-0.532158,4.219933,2.040979,1.8294169999999998,3.4508449999999997,-4.607163,2.217838,2.195226,3.412879,4.102392,-0.176903,2.135134,0.279019,-2.2972099999999998,-6.149845,-0.046458,0.576617,-1.6917330000000002,-1.8014599999999998,-0.108876,-1.4552459999999998,-2.154886,0.330962,-0.001198,2.107766,0.990489,-0.14339000000000002,0.7846989999999999,-5.971097,0.533464,1.4703540000000002,1.2962559999999999,1.315064,2.687643,-5.897144,-3.805603,-5.431998999999999,-0.332807,0.398296,3.84085,1.532804,0.903279,-5.712457,1.367167,-0.37644299999999997,-0.5667909999999999,1.786289,3.087104,-5.3223970000000005,1.921943,1.589065,-4.086379,1.214324,2.307113,0.068052,4.0688830000000005,2.7621130000000003,0.663749,-5.149053,4.193955,2.032677,1.742662,-0.82171,0.988186,0.983949,-2.4555849999999997,2.584377,1.073273,1.343857,-1.9230009999999997,3.438652,1.8554169999999999,1.383976,5.124569999999999,-6.1947589999999995,-6.31924,-1.3573110000000002,-1.66726,3.545812,0.010842000000000001,-4.125738,2.4912330000000003,1.1555440000000001,1.802846,3.490061,1.919571,-4.264462,2.460389,0.9830530000000001,-1.288203,-0.258315,-0.125563,-3.4163949999999996,0.195914,-3.602158,-0.526931,1.8351680000000001,3.456488,2.8312880000000002,1.387022,1.9126720000000001,-2.178044,1.715407,2.021455,1.49129,4.265847,-1.9428470000000002,2.819839,-3.4215459999999998,4.422731,3.21749,4.276649,4.466497,2.299845,3.357828,2.1769,1.028057,4.420605999999999,4.47239,2.86043,3.9398239999999998,-0.699199,2.5888169999999997,1.1727370000000001,1.296504,-0.083159,0.074656,-0.25054699999999996,4.493283,3.83244,2.132927,-2.879838,3.759904,0.8598950000000001,1.417506,4.1406550000000015,1.295032,1.5567090000000001,1.97363,-3.595489,3.200329,3.253082,-3.8200489999999996,1.8614830000000002,-1.421973,1.823445,-2.394365,3.560001,0.284222,-1.861466,-5.206909,4.216285,1.3187209999999998,-4.0370300000000015,-2.7403880000000003,-0.80808,1.1058350000000001,3.209795,-2.993657,-4.863606,-4.713984,1.321954,,,,,,,,,,,,,,,,,,,,,6.310279,-4.2736795,-1.237162,0.444168,2.7763985,0.974989,,6.0111550000000005
769-P,3.1949185,2.687513,3.671584,3.5162910000000003,-3.9163315,-3.023415,-2.139694,3.317243,0.839724,2.767655,0.217772,1.8229799999999998,3.764075,2.9093459999999998,4.061114,-1.521707,4.7790370000000015,5.401166,4.407548,5.543499,3.8273940000000004,4.192384,1.892281,-1.11134,-4.749378,4.111701999999998,-0.29885900000000004,1.566776,-0.742891,3.312665,1.468783,-1.2092479999999999,4.569357,-0.435392,0.696934,3.56396,1.16184,3.5828949999999997,-2.943308,4.168353,0.9785299999999999,2.242857,1.462779,4.062316,-2.5623,3.274677,-4.671174,1.109931,0.988346,5.668125,4.748339,1.558255,-5.626608,1.601328,1.2602360000000001,2.010841,3.255562,4.444287,0.570922,2.270244,4.785202,-3.373533,2.3896319999999998,1.445262,1.673988,5.580552,3.66899,1.045208,-1.654832,5.681539,4.507135,5.6524980000000005,0.738815,3.944353,2.8964950000000003,1.6683970000000001,4.485732,3.3408919999999998,3.3765980000000004,1.232536,4.974381,4.862853,5.6698699999999995,6.482648,-2.140937,-4.05379,1.6944439999999998,1.852068,4.593964,1.6446040000000002,2.287907,4.611823,1.3949799999999999,2.824295,4.787227,2.1715169999999997,-1.7062529999999998,3.85575,1.9892279999999998,-0.45719899999999997,4.082145,3.153248,3.4372550000000004,3.606587,1.0321870000000002,3.4603029999999997,4.6899510000000015,5.383954,4.790719999999999,4.240715,3.17295,-0.9311280000000001,1.7832270000000001,3.302135,4.166189,4.718217,0.80489,4.664958,2.221618,4.784638,5.422233,4.1348769999999995,5.355473,3.82462,5.403427,4.2429120000000005,2.1964040000000002,5.110563,4.626176999999998,3.60786,7.542077000000001,0.580274,4.075539,3.991571,3.62932,1.621059,1.371896,2.203368,3.932342,3.9189870000000004,3.9929910000000004,1.2544799999999998,5.3296019999999995,3.553433,2.2385349999999997,4.715589,1.918859,3.465121,2.3926990000000004,1.9393080000000005,4.628897,5.210772,-2.730122,6.2522980000000015,2.83894,2.57553,-0.37701999999999997,5.165294,2.178712,0.571284,-1.817525,5.733527,1.0433219999999999,3.924406,-0.132302,1.847837,5.654503,2.0474040000000002,5.840904,-3.4558839999999997,-0.38019899999999995,3.6180480000000004,5.359129,-3.2942699999999996,,,,,,,,,,,,,,,,,,,4.615243,-3.090133,0.711417,-1.0929879999999998,3.5153455000000005,1.144619,0.252316,8.259356
786-0,3.1843935,2.6663924999999997,3.96766,0.978483,-5.100676999999999,-4.042631,-3.4945019999999998,4.187099,1.344344,2.797083,1.412749,4.173126,5.223006,3.428381,4.741839,-1.8748939999999998,3.708219,5.440437999999999,5.902647,5.2172220000000005,1.519941,4.706153,5.003131,-2.307123,-4.499542,2.058579,0.686185,2.283558,-0.374583,1.547541,0.9948530000000001,-0.958535,3.6561239999999997,-0.072983,2.166578,4.6063410000000005,2.2567049999999997,4.842018,-0.49996199999999996,1.701502,1.606826,2.8691150000000003,3.8724339999999997,3.379487,-2.0638490000000003,2.08354,-5.297135,1.570083,1.7933240000000001,3.979847,1.124393,1.605101,-4.751429,1.270864,0.9585040000000001,2.1755869999999997,1.6408470000000002,4.0819529999999995,0.8850370000000001,4.783423,2.481617,-1.989773,2.186761,3.9774480000000003,-0.427858,4.469821,3.074824,1.497939,-2.243625,4.76016,3.728126,2.619379,0.754868,1.407692,2.508497,3.281154,2.743559,0.240921,2.135208,1.589241,5.257218,5.180265,2.846937,5.537905,-4.981536,-4.160762999999998,-0.182111,1.057732,4.740661,1.489267,3.4543489999999997,4.403076,1.8091509999999997,3.004643,5.620147,1.644914,-3.390631,4.454835,1.992535,0.004604,4.0207,3.5036739999999997,1.68903,5.4050400000000005,-0.343263,4.6993089999999995,3.7621860000000003,5.453307,4.58487,2.811579,2.749567,-0.728594,2.543733,3.7486099999999998,3.910705,4.643936,-0.99823,5.380115,2.034647,5.676383,3.8271050000000004,4.867411,5.469778,3.055151,5.404132,4.649385,2.6259360000000003,6.368333,5.663428,2.960756,5.2465660000000005,2.139636,4.346973,2.97436,3.7831699999999997,1.638112,-0.183552,1.4626940000000002,5.569891,5.037191,4.015295,-0.488246,5.072141,3.4993410000000003,2.444616,5.4415949999999995,3.127473,4.061096,2.785925,1.802847,5.18648,4.768468,-2.43853,6.279819,1.909698,2.6715310000000003,-0.543762,5.638491,2.449546,2.754208,-2.475355,5.676359,2.1377330000000003,2.666833,-0.584787,1.801318,5.570399,4.638113,5.5437080000000005,-2.639528,-1.277512,3.319642,2.383379,,5.221941,,,,,,,,,,,,,,,,,,4.925803,-3.6978255,-0.6420600000000001,-1.9234490000000002,3.245004,0.015833,0.965781,7.081498
8305C,6.2862215,3.5152245000000004,4.497088,5.375549,-2.650545,-3.6137005,-1.209881,6.221018,2.101497,0.8641690000000001,-0.744306,5.274262,3.5161540000000002,2.121813,6.114694,-1.213986,3.9213720000000003,5.154705,6.557588000000001,5.754343,4.481523,2.917361,5.459118,-1.9662490000000001,-2.671614,1.903889,0.15590299999999999,2.707872,1.772757,5.64556,0.510228,0.14288800000000001,4.562601,-0.441158,3.605408,2.7172099999999997,1.865473,1.7661950000000002,-0.407174,4.4160129999999995,3.43096,3.50996,3.802428,4.1072239999999995,1.834759,2.1699040000000003,-5.461582,2.3205810000000002,2.413579,5.550123,3.3687739999999997,3.398422,-3.924029,1.9684599999999999,0.67516,2.3718779999999997,1.691501,2.730106,4.101913,4.866226999999999,4.5060080000000005,-0.9349299999999999,2.26789,3.953418,1.3925610000000002,5.151033,4.058438,1.195367,-0.43854799999999994,4.342469,3.8588440000000004,6.2005870000000005,2.487545,3.572394,1.2894459999999999,1.902179,5.286738,2.6962650000000004,3.1014310000000003,2.412065,4.7209769999999995,5.642621,3.3231260000000002,6.3420510000000005,-3.5788919999999997,-3.8596550000000014,4.390291,1.1705020000000002,5.520643,3.78764,5.601546,4.329893,4.440318,2.930189,5.636903,3.311704,-0.8157439999999999,4.827885,3.4163300000000003,-0.46513699999999997,4.5040260000000005,3.839431,4.238738,5.247943,1.872675,5.926636,4.151912,4.688208,6.172845,2.386352,2.968244,-1.452331,3.6029809999999998,3.295214,4.370668,6.7714300000000005,0.503216,5.815471,2.608431,4.509665,4.927908,4.77228,5.795732,3.475569,6.149476,5.247015,0.9206559999999999,6.245323,5.321921,6.251786,4.858765,1.076365,5.189104,3.328936,2.644806,3.130203,1.306196,1.5697510000000001,4.808454,2.182888,3.36124,1.6105049999999999,6.166053,3.866187,3.015118,5.4429690000000015,4.471217,1.976968,3.602554,3.3248230000000003,4.306916,5.959102,-1.82103,6.558056,5.061202,3.425412,0.32957,5.455888,2.9384759999999996,1.729697,-1.65147,6.105963,2.073491,3.097509,1.530623,3.326978,6.224583,6.1547550000000015,6.596672,-3.684908,-3.8555370000000004,3.2973269999999997,4.280853,-4.058059,,,,,,,,,,,,,,,,,,,6.452114,-1.5710259999999998,0.844543,-0.589471,3.541058,3.419292,3.345308,8.762999
A172,2.743198,2.6389515,4.3096475000000005,3.2102060000000003,-5.5626015,-5.3728555,-3.1084,2.420816,1.694648,2.366075,1.0615649999999999,4.069242,4.683801,2.097775,4.423235,-2.793068,4.657278,3.823287,5.729355,4.548771,1.7350860000000001,5.229973,1.825289,-2.5590759999999997,-4.700076,3.7882010000000004,0.402776,2.907991,0.909209,3.9017440000000003,0.929908,-0.1688,2.75947,0.6668729999999999,2.4106419999999997,1.7028459999999999,1.08074,3.8986650000000003,-4.515115,0.123903,2.201021,1.9592200000000002,3.819806,2.681874,-2.680672,2.0563029999999998,-6.3355510000000015,2.0458540000000003,1.383786,3.9720400000000002,3.6949110000000003,2.675218,-3.2878870000000004,0.540072,0.20933400000000002,1.344742,2.89207,3.591861,0.8819889999999999,2.5040400000000003,3.241845,-3.076007,2.09401,2.8101220000000002,0.44745100000000004,4.917977,3.73066,1.757756,-2.864421,4.636263,2.928819,2.807115,1.3164280000000002,3.067817,1.872004,2.805831,1.9825990000000002,2.499818,1.88083,2.615841,5.374639,5.408551,2.176472,5.3709120000000015,-4.371901,-5.163714,-2.297319,0.2834,4.758071,4.4462459999999995,1.49229,5.308898,1.080876,3.3683300000000003,5.4085160000000005,3.626381,-3.2813510000000004,5.129353,4.775742,-0.595913,3.667979,2.118957,1.662768,5.938137,0.621027,4.811726,4.548682,4.397462,4.313198000000001,3.6859910000000013,3.086782,-1.07115,2.434592,3.034222,4.434393,5.278187,0.267244,4.4428800000000015,1.80496,4.143676,4.665858,4.5126040000000005,5.634753,3.6431379999999995,4.452577,5.711878,1.413341,5.889662,5.08234,1.098315,4.361593,1.846514,5.253605,3.201762,4.812437999999998,1.863947,-0.049582999999999995,0.438191,4.901336,3.285239,4.706329,1.0141040000000001,5.50976,0.700883,2.105357,4.743021,4.405465,3.217647,3.051244,2.9800869999999997,4.73032,4.872229,-2.424318,5.954152,0.002545,2.615911,-1.314263,4.438949,3.324764,1.673903,-3.160515,4.9900410000000015,1.485997,1.9863959999999998,-0.937227,0.374855,5.477947,5.686058,5.773957,-4.676483999999999,-3.082141,3.4305879999999997,2.100498,,4.856054,,,,,,,,,,,,,,,,,,5.047852,-2.6081795000000003,1.6693069999999999,2.724772,3.64784,1.5921299999999998,3.5767860000000002,9.87778
A204,3.5632455000000003,3.009449,4.2711305,3.2184485,-3.874577,-0.622865,-1.720835,5.542559,2.348975,2.8107830000000003,1.405106,4.552537,4.64529,3.082408,3.918193,-1.593387,3.971835,5.022198,6.7249940000000015,6.175189,2.726639,5.293298,2.925096,-1.909142,-3.5700559999999997,3.898475,1.080085,3.699882,1.916023,4.971433,1.6957689999999999,-0.254395,4.448967,0.534535,4.1570599999999995,2.929035,2.483406,3.2917050000000003,-0.824556,0.353019,4.856639,1.398674,1.74092,3.9453949999999995,-1.8874349999999998,1.848298,-4.843719,3.683563,1.415052,4.876139,4.076029,2.829057,-4.7712309999999984,-0.594229,0.876475,3.76145,2.397744,4.34662,0.905954,5.1692480000000005,3.205083,-0.806369,2.909128,4.280226,0.00066,5.996118,3.926073,2.427971,-2.34279,5.964551999999999,4.366157,4.391712,2.713157,2.674821,2.801546,2.9938919999999998,3.427972,1.810873,1.510565,1.624976,5.963191,6.2584620000000015,3.800253,7.1667440000000004,-1.912768,-2.356682,0.924168,-0.6982470000000001,5.931445,2.951874,3.201498,4.36702,2.5472330000000003,3.4656949999999997,4.938285,4.219191,-2.678283,6.048901,4.346813,0.85039,4.662604,4.401,2.277029,4.6416059999999995,0.260666,4.9227620000000005,3.2519,5.087523,4.1531720000000005,5.496682,3.1966509999999997,1.053065,3.833971,3.726347,4.855382,6.7836050000000006,1.8424220000000002,3.498961,1.975425,5.222328,4.738162,5.910635,6.193187,4.37924,6.061368,5.140758,3.616146,-0.370128,4.840803,3.615257,4.508225,5.99017,4.789507,3.512693,6.031358999999999,2.749339,2.7034979999999997,2.336569,3.349499,5.268058,5.519728,0.688929,5.616978,3.123363,3.797796,4.463329,4.789333,3.188727,2.9732279999999998,2.587296,6.243182,3.22507,-0.568166,6.9516089999999995,2.123878,3.5548660000000005,0.804941,6.2584620000000015,4.5577879999999995,2.976175,-0.43949799999999994,5.601725,0.845339,2.2880380000000002,-0.669511,2.448958,-1.738503,5.816464,4.66549,-1.871277,1.4098629999999999,1.6885860000000001,-5.461386,,5.702668,,,,,,,,,,,,,,,,,,7.0346839999999995,-4.2954005,-1.266551,-1.3441610000000002,3.5766625000000003,-1.107884,5.243627,8.485063
A4-Fuk,2.347529,-0.73441,2.7232570000000003,-0.25393699999999997,-4.9159559999999995,-6.164669,-4.339042,1.675686,1.047715,-1.6598939999999998,-1.5891540000000002,3.473519,0.201438,-1.521193,2.897936,-4.083337,-0.32727,3.644168,4.617247,4.4051089999999995,0.31498200000000004,2.743872,3.603761,-2.0507459999999997,-4.615729,-0.612588,-4.041728,0.840987,-2.07325,1.363042,-1.040922,-2.584311,3.5027470000000003,-0.017661000000000003,2.255296,2.01778,0.088499,4.007879,-5.141939,0.8722690000000001,1.7052310000000002,1.444848,1.08182,3.3470699999999995,-4.670424,0.9939290000000001,-5.65751,0.070225,1.235156,4.274707,1.393435,1.9493060000000002,-5.350429,1.065724,-0.646179,-0.604228,2.033684,2.614688,-1.313041,3.108848,1.676671,-3.4690529999999997,0.208921,2.7456509999999996,-1.039109,3.497527,4.351104,0.773726,-2.910978,4.357252,2.353336,3.073835,0.262155,0.943886,-0.9567459999999999,2.145508,3.6495339999999996,0.38366100000000003,1.450954,2.241072,4.321744,4.357252,1.7936919999999998,2.678473,-6.12796,-6.2514080000000005,-1.8861459999999999,-1.07952,3.607653,0.012056,0.9403360000000001,2.841056,1.861834,-2.034809,4.154538,2.502471,-6.26613,3.7552529999999997,2.105291,-2.085312,-0.19081199999999998,0.820551,-3.616623,1.672246,-2.059323,1.2537,0.9862049999999999,4.004427,3.60905,3.09749,0.690736,-2.724494,2.052859,3.102521,4.356043,5.455634,-1.238145,2.345997,0.825708,2.565971,3.4188199999999997,3.822708,4.351173,2.741936,3.7907870000000004,2.1711110000000002,-1.067634,5.433818,3.8100160000000014,1.149853,2.833437,-1.770809,3.778981,0.519548,1.236888,-0.054435000000000004,-0.725334,-0.7238829999999999,2.721483,2.332166,1.627276,-2.6911709999999998,4.124937,0.01114,1.230054,3.9168199999999995,0.868139,-1.331855,0.346344,1.479682,2.5599060000000002,3.676217,-4.600777,4.362493,-2.860042,2.050709,-2.105126,4.356996,-0.10108400000000001,-2.9392720000000003,-4.433914,3.745572,-0.061153,0.831991,-1.724795,-1.510119,4.793932,2.738207,-2.346155,-6.164016999999999,-5.1298879999999984,2.637298,1.7672900000000002,-5.508955,,,,,,,,,,,,,,,,,,,6.720039,-1.4895,-0.027634,3.1554,3.4443145000000004,4.165973,,5.58645
